,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
nazov,Emisie základných znečisťujúcich látok,,,,,,,,,,,,,,,,,,
Jednotky,Produkcia v tonách na km2,,,,,,,,,,,,,,,,,,
Typ emisií,Tuhé emisie,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
,,,,,,,,,,,,,,,,,,,
Okres Bratislava I,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava II,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava III,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava IV,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava V,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Malacky,"0,4","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2"
Okres Pezinok,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2","0,2"
Okres Senec,"0,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Dunajská Streda,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1"
Okres Galanta,"0,6","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1"
Okres Hlohovec,"0,8","0,1","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1"
Okres Piešťany,"0,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Senica,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Skalica,"0,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Trnava,"0,7","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Okres Bánovce nad Bebravou,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1"
Okres Ilava,"0,9","0,2","0,2","0,6","0,6","0,8","0,5","0,4","0,4","0,3","0,3","0,5","0,5","0,6","0,4","0,3","0,6","0,4","0,4"
Okres Myjava,"0,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Nové Mesto nad Váhom,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Partizánske,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,2","0,4","0,4","0,6","0,5","0,7","0,6","0,7"
Okres Považská Bystrica,"0,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,0","0,0"
Okres Prievidza,"1,1","0,2","0,3","0,4","0,8","0,6","0,6","0,6","0,6","0,5","0,7","0,8","0,9","1,1","1,4","1,9","1,6","1,6","1,8"
Okres Púchov,"1,0","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,2","0,2"
Okres Trenčín,"0,6","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,1","0,2","0,2","0,2"
Okres Komárno,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Levice,"0,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,0","0,0","0,1","0,1","0,1"
Okres Nitra,"0,7","0,1","0,1","0,0","0,1","0,1","0,1","0,0","0,1","0,1","0,0","0,1","0,1","0,1","0,2","0,2","0,1","0,2","0,2"
Okres Nové Zámky,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1"
Okres Šaľa,"1,2","0,5","0,5","0,5","0,5","0,4","0,5","0,4","0,5","0,3","0,3","0,3","0,4","0,5","0,7","0,8","0,7","0,9","1,0"
Okres Topoľčany,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Zlaté Moravce,"0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1"
Okres Bytča,"0,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,2","0,2"
Okres Čadca,"0,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,1","0,2"
Okres Dolný Kubín,"0,7","0,1","0,1","0,1","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2"
Okres Kysucké Nové Mesto,"1,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,1"
Okres Liptovský Mikuláš,"0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1"
Okres Martin,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,3"
Okres Námestovo,"1,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,3","0,3"
Okres Ružomberok,"1,0","0,1","0,1","0,1","0,1","0,2","0,5","0,4","0,4","0,2","0,2","0,1","0,2","0,1","0,2","0,3","0,4","0,4","0,4"
