,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
nazov,Emisie základných znečisťujúcich látok,,,,,,,,,,,,,,,,,,
Jednotky,Produkcia v tonách na km2,,,,,,,,,,,,,,,,,,
Typ emisií,Oxid siričitý,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
,,,,,,,,,,,,,,,,,,,
Okres Bratislava I,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava II,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava III,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava IV,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava V,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Malacky,"0,1","0,0","0,0","0,0","0,1","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,3","0,2","0,0","0,1","0,1"
Okres Pezinok,"0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,2"
Okres Senec,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Dunajská Streda,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,3","0,3","0,4","0,3","0,3","0,7"
Okres Galanta,"0,4","0,4","0,5","0,3","0,4","0,4","0,4","0,3","0,3","0,3","0,2","0,3","0,3","0,4","0,4","0,5","0,4","0,4","0,4"
Okres Hlohovec,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1"
Okres Piešťany,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Senica,"0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1"
Okres Skalica,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Trnava,"0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2","0,1","0,1","0,2","0,1","0,1","0,1","0,2"
Okres Bánovce nad Bebravou,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1"
Okres Ilava,"0,1","0,0","0,1","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,2","0,1","0,1"
Okres Myjava,"0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Nové Mesto nad Váhom,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Partizánske,"0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,7","1,2","1,6","1,7","1,8","2,7","2,0","2,2"
Okres Považská Bystrica,"0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,4","0,4","0,3","0,3","0,4","0,4","0,2","0,3","0,3","0,4"
Okres Prievidza,"1,3","2,8","7,2","6,4","48,8","25,8","32,3","34,8","41,3","38,0","33,8","36,6","33,7","39,8","41,1","44,2","45,5","37,6","44,0"
Okres Púchov,"0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,3","1,0","1,0","0,5"
Okres Trenčín,"0,1","0,1","0,1","0,2","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,2","0,3","0,3","0,3","0,3"
Okres Komárno,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Levice,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1"
Okres Nitra,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1"
Okres Nové Zámky,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,5","0,5","0,5","0,7","0,5","0,7","1,3","1,3","1,1"
Okres Šaľa,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,3","3,0","2,6","3,4","3,2","4,5"
Okres Topoľčany,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Zlaté Moravce,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Bytča,"0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,2"
Okres Čadca,"0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,4","0,3","0,3","0,3"
Okres Dolný Kubín,"1,4","1,5","1,6","1,5","0,9","0,7","0,7","0,4","0,4","0,3","0,1","0,2","0,2","0,2","0,2","0,5","0,7","0,7","1,1"
Okres Kysucké Nové Mesto,"0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1"
Okres Liptovský Mikuláš,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,2","0,6","0,2","0,2"
Okres Martin,"0,5","0,6","0,7","0,7","0,6","0,6","0,8","1,2","1,0","1,1","1,3","1,2","1,1","1,2","1,7","1,8","1,9","1,9","2,0"
Okres Námestovo,"0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,2","0,4","0,5","0,6"
Okres Ružomberok,"0,2","0,1","0,3","0,2","0,3","0,4","0,3","0,2","0,3","0,2","0,2","0,5","0,7","0,5","0,7","1,8","2,1","1,7","3,5"
