,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
nazov,Emisie základných znečisťujúcich látok,,,,,,,,,,,,,,,,,,
Jednotky,Produkcia v tonách,,,,,,,,,,,,,,,,,,
Typ emisií,Oxid siričitý,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
,,,,,,,,,,,,,,,,,,,
Okres Bratislava I,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava II,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava III,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava IV,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava V,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Malacky,"123,6","39,4","30,0","40,5","118,7","158,0","145,6","188,5","135,5","101,0","124,2","105,1","114,5","118,3","293,4","196,5","42,9","63,0","94,9"
Okres Pezinok,"32,2","12,2","10,0","10,5","9,2","7,4","11,1","11,6","11,4","10,9","9,3","9,4","9,1","10,5","11,3","17,1","17,4","41,4","86,5"
Okres Senec,"14,1","1,6","4,4","6,5","5,7","5,3","4,6","1,0","0,1","0,1","0,1","0,1","0,1","0,5","0,6","0,5","0,3","3,6","6,9"
Okres Dunajská Streda,"31,5","18,1","19,1","18,2","22,0","17,8","15,4","4,8","6,4","2,0","2,3","2,1","12,3","314,7","308,8","399,7","281,5","330,7","779,7"
Okres Galanta,"244,7","247,7","308,8","223,1","247,3","275,5","258,4","194,3","190,9","163,3","140,2","176,9","210,1","270,4","256,1","290,6","269,6","246,5","243,2"
Okres Hlohovec,"12,7","3,9","4,9","4,0","4,4","7,2","5,5","2,3","5,9","5,7","5,5","3,0","2,3","3,0","3,3","6,0","8,0","15,8","20,8"
Okres Piešťany,"13,6","4,8","7,6","7,6","10,2","9,5","7,5","1,4","0,3","0,3","0,3","0,6","0,8","1,1","2,8","13,2","4,1","3,3","3,8"
Okres Senica,"37,9","18,1","16,8","25,2","9,6","10,2","8,7","13,4","8,6","19,9","16,5","18,6","15,2","12,1","22,2","27,2","45,4","52,2","55,7"
Okres Skalica,"11,4","0,5","0,3","0,2","0,7","0,1","0,6","0,1","0,1","1,9","2,0","1,4","1,3","0,9","2,0","7,1","3,6","3,5","8,6"
Okres Trnava,"95,7","90,9","114,2","144,4","146,4","126,1","139,1","92,5","96,6","75,3","71,1","134,8","101,7","108,6","140,4","77,2","85,3","91,1","123,4"
Okres Bánovce nad Bebravou,"12,9","0,9","0,1","0,5","0,7","0,2","0,2","0,9","4,8","3,2","9,3","2,4","2,1","2,3","3,2","3,7","9,9","31,4","47,4"
Okres Ilava,"20,9","8,7","38,6","15,3","9,1","15,7","12,3","21,9","11,2","10,9","9,1","14,5","8,6","10,9","10,3","47,5","74,8","28,9","50,1"
Okres Myjava,"23,1","5,0","5,7","5,3","5,9","5,7","4,0","0,5","0,3","0,7","0,4","0,9","1,0","1,0","1,9","3,2","5,7","10,5","11,8"
Okres Nové Mesto nad Váhom,"18,6","1,7","0,3","0,3","0,2","0,2","0,3","0,6","0,5","0,6","0,6","0,3","0,3","2,5","4,9","5,2","11,5","19,3","22,9"
Okres Partizánske,"19,0","10,1","8,7","9,1","8,5","7,9","11,8","10,7","7,8","5,4","1,9","218,6","351,3","493,9","497,2","539,5","818,8","598,2","651,3"
Okres Považská Bystrica,"30,5","1,9","2,5","2,4","2,1","2,0","2,3","2,3","17,3","169,0","199,4","145,3","149,6","171,1","167,2","108,3","139,4","137,4","183,9"
Okres Prievidza,"1 214,3","2 694,1","6 901,6","6 176,5","46 791,5","24 729,0","31 045,9","33 395,8","39 593,2","36 493,3","32 487,8","35 104,4","32 321,8","38 191,7","39 458,8","42 433,1","43 674,2","36 077,2","42 202,2"
Okres Púchov,"58,5","27,1","40,1","36,7","28,8","25,5","20,1","15,4","18,4","11,4","8,8","8,3","10,2","34,0","51,2","119,6","362,4","373,0","189,7"
Okres Trenčín,"89,5","45,4","86,6","102,9","61,9","61,7","60,8","124,1","123,7","131,7","165,2","164,3","162,5","97,0","142,1","210,3","198,1","185,1","198,1"
Okres Komárno,"20,9","0,7","0,7","0,4","0,4","0,5","0,5","0,7","0,8","0,7","2,0","2,3","1,9","2,7","6,3","10,7","9,5","18,7","20,0"
Okres Levice,"65,6","14,8","13,0","13,6","13,8","16,6","28,1","22,6","24,2","29,8","22,5","26,0","22,0","25,6","35,6","26,6","66,8","88,2","148,5"
Okres Nitra,"68,6","47,4","47,7","66,2","76,1","74,2","45,2","38,3","19,1","9,6","9,8","12,7","15,2","25,2","21,7","24,4","33,5","74,5","115,8"
Okres Nové Zámky,"61,8","34,5","34,5","38,7","44,7","40,2","28,7","18,6","23,6","145,5","712,0","691,5","726,0","935,0","665,7","936,3","1 686,6","1 731,6","1 464,7"
Okres Šaľa,"13,8","5,2","3,9","4,1","5,0","4,3","2,1","2,1","2,3","2,5","5,5","6,2","6,5","812,7","1 084,7","933,6","1 201,2","1 153,3","1 595,2"
Okres Topoľčany,"10,8","0,8","5,3","5,2","4,8","5,7","5,9","2,7","3,3","3,6","4,7","7,2","8,4","10,8","11,5","11,2","16,3","21,7","22,1"
Okres Zlaté Moravce,"14,0","1,8","1,8","1,7","1,5","1,4","1,8","1,6","1,9","1,6","1,3","8,1","9,0","9,3","9,5","10,2","2,9","6,6","24,3"
Okres Bytča,"20,5","1,3","1,5","1,6","0,6","0,6","0,8","1,0","0,8","1,5","3,5","2,4","4,4","4,1","4,6","19,3","38,8","41,6","42,6"
Okres Čadca,"122,2","67,6","84,2","89,4","87,6","80,9","108,5","120,7","116,7","129,3","129,4","143,4","188,3","198,8","256,5","270,0","235,6","236,8","263,2"
Okres Dolný Kubín,"685,1","721,8","806,8","739,2","436,5","366,5","354,6","205,2","177,4","142,9","42,2","83,4","80,7","103,7","91,2","259,5","328,5","339,8","553,2"
Okres Kysucké Nové Mesto,"13,2","0,8","0,8","0,6","0,4","0,5","0,5","0,5","0,9","0,6","0,6","0,6","2,6","3,4","4,5","7,2","3,3","11,3","21,7"
Okres Liptovský Mikuláš,"33,6","3,0","2,3","3,1","5,3","5,6","6,4","7,5","6,9","7,4","8,6","41,3","58,9","142,7","149,9","237,3","856,8","230,4","235,5"
Okres Martin,"381,3","415,0","499,3","523,9","458,4","419,3","559,2","874,1","748,1","798,2","925,9","902,4","795,9","895,2","1 257,4","1 315,9","1 382,6","1 388,6","1 477,3"
Okres Námestovo,"69,1","13,7","22,0","17,9","16,0","17,2","25,7","27,0","29,9","33,3","48,6","45,1","46,3","63,1","77,5","148,2","256,9","356,5","393,1"
