,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
nazov,Emisie základných znečisťujúcich látok,,,,,,,,,,,,,,,,,,
Jednotky,Produkcia v tonách,,,,,,,,,,,,,,,,,,
Typ emisií,Tuhé emisie,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
,,,,,,,,,,,,,,,,,,,
Okres Bratislava I,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava II,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava III,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava IV,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Bratislava V,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Malacky,"414,8","41,1","50,1","47,9","58,7","94,1","64,2","65,7","66,5","63,3","74,1","79,2","76,3","56,8","84,3","137,7","184,1","169,7","150,0"
Okres Pezinok,"183,5","10,3","10,0","7,3","6,5","5,3","8,4","10,3","10,4","9,6","9,0","14,0","9,8","10,2","11,5","7,0","13,3","70,5","92,0"
Okres Senec,"215,7","6,1","5,4","5,3","6,5","6,6","5,9","2,9","3,3","3,0","3,3","4,1","5,4","3,9","5,0","7,0","7,4","7,8","11,5"
Okres Dunajská Streda,"577,8","18,8","20,6","31,2","26,1","40,5","37,0","33,9","30,9","30,0","19,1","25,5","22,6","89,6","89,5","86,5","57,6","69,3","80,6"
Okres Galanta,"392,9","37,6","39,5","40,6","47,5","41,6","37,3","28,5","43,2","33,9","28,3","30,6","23,4","25,1","24,2","20,8","32,0","33,0","43,4"
Okres Hlohovec,"227,1","13,4","10,6","11,2","12,0","11,5","11,8","15,2","22,9","12,0","12,5","10,7","8,9","8,0","10,1","10,1","11,1","13,7","18,1"
Okres Piešťany,"275,9","4,0","5,2","7,6","7,3","7,0","6,5","5,8","4,9","5,2","4,4","5,4","4,6","6,0","9,2","8,9","13,1","13,6","16,8"
Okres Senica,"344,3","8,3","9,1","13,5","12,7","14,2","14,3","13,1","12,3","12,8","9,2","10,5","13,2","16,0","13,5","12,2","16,0","22,7","32,3"
Okres Skalica,"200,1","6,1","7,8","7,9","7,0","9,9","10,3","8,5","9,3","11,8","8,9","7,4","6,7","5,7","5,5","5,7","7,8","7,1","10,5"
Okres Trnava,"509,9","87,9","88,0","92,2","81,2","78,8","72,4","69,8","82,1","74,0","60,3","76,8","76,1","67,7","73,3","92,8","90,4","93,8","85,5"
Okres Bánovce nad Bebravou,"220,4","4,4","4,2","5,3","4,8","4,5","5,6","5,1","7,0","5,6","9,0","13,6","13,8","14,3","18,6","20,6","20,3","33,1","33,4"
Okres Ilava,"336,8","67,9","75,0","204,4","213,0","278,7","181,3","130,0","128,4","110,9","124,9","188,3","191,4","197,7","129,8","108,4","215,4","151,8","145,7"
Okres Myjava,"254,5","3,6","3,5","4,1","4,5","4,4","4,1","4,3","4,5","4,8","3,0","4,4","4,1","3,8","4,7","5,9","11,3","14,1","14,8"
Okres Nové Mesto nad Váhom,"281,2","8,2","6,6","6,7","6,3","6,0","5,3","6,2","6,1","5,2","5,8","8,0","8,2","10,5","12,2","16,9","19,0","28,2","23,9"
Okres Partizánske,"160,4","12,7","11,1","10,1","11,5","9,4","11,5","11,5","15,8","16,3","18,4","67,8","108,3","119,6","185,1","159,2","202,1","183,7","201,9"
Okres Považská Bystrica,"379,5","10,3","10,1","9,7","9,2","8,1","9,0","8,9","9,9","10,2","12,0","10,8","9,2","10,3","10,2","25,7","27,3","20,3","18,7"
Okres Prievidza,"1 097,1","210,0","271,7","341,5","744,3","534,5","544,1","560,0","591,1","521,2","674,8","726,6","843,0","1 036,5","1 381,7","1 779,0","1 503,2","1 540,0","1 740,5"
Okres Púchov,"356,6","10,3","11,2","12,9","14,8","18,1","28,3","11,2","14,5","17,5","12,2","14,7","16,1","30,9","32,7","44,7","54,1","68,5","68,9"
Okres Trenčín,"433,3","70,5","42,7","43,3","46,7","46,8","41,5","30,5","45,4","48,7","79,3","91,1","94,4","94,5","107,3","98,3","113,7","121,8","139,1"
Okres Komárno,"536,1","26,3","25,3","31,8","18,7","25,7","19,9","17,8","20,4","20,4","16,6","14,0","17,8","20,2","21,2","16,8","11,8","17,5","24,1"
Okres Levice,"999,4","47,1","47,8","62,6","54,4","61,3","67,7","60,7","66,3","64,0","67,6","127,5","157,4","99,1","68,4","61,5","94,0","95,7","142,7"
Okres Nitra,"605,5","50,0","45,9","42,2","46,3","52,3","44,0","42,8","50,0","51,7","43,0","57,4","48,2","85,6","160,7","139,6","128,3","142,4","156,2"
Okres Nové Zámky,"715,0","25,5","23,3","21,5","20,5","22,1","20,1","18,2","24,1","26,5","43,7","43,9","46,1","54,6","59,1","73,9","123,2","153,4","150,9"
Okres Šaľa,"431,1","178,2","181,2","166,2","177,1","131,6","165,4","157,7","178,2","106,4","118,8","121,3","126,1","186,2","235,1","288,8","264,1","317,6","350,8"
Okres Topoľčany,"321,0","29,3","29,1","28,3","29,3","29,8","25,4","21,3","17,4","18,4","14,7","18,4","19,6","22,4","21,3","21,1","27,0","26,0","28,4"
Okres Zlaté Moravce,"216,5","13,2","16,8","14,2","14,9","13,5","14,5","14,1","18,2","13,8","7,9","6,7","5,7","6,3","7,0","6,7","8,9","13,0","27,2"
Okres Bytča,"264,9","2,3","3,3","5,2","7,6","11,9","5,8","4,7","5,0","5,5","6,6","6,1","7,7","8,6","7,6","31,9","38,5","43,1","43,7"
Okres Čadca,"720,0","5,2","5,1","6,4","6,9","9,9","30,7","34,1","37,4","44,3","49,3","57,9","64,2","83,9","120,0","116,9","144,7","111,7","129,2"
Okres Dolný Kubín,"342,5","34,1","51,4","58,0","75,5","70,6","61,6","65,4","47,8","48,0","31,0","48,0","51,1","44,0","37,2","64,7","70,5","121,3","115,3"
Okres Kysucké Nové Mesto,"173,7","10,1","9,3","13,2","14,8","21,4","20,0","18,4","16,1","16,3","15,1","17,0","17,3","16,7","13,0","16,9","18,8","28,0","19,0"
Okres Liptovský Mikuláš,"595,3","34,2","35,0","31,4","28,3","26,6","32,0","30,1","29,0","36,3","33,7","41,3","44,4","64,9","72,5","77,6","95,7","104,0","187,5"
Okres Martin,"393,6","23,7","25,7","27,4","23,9","22,1","25,5","26,6","30,3","34,1","38,5","45,2","47,3","62,7","84,2","125,4","160,9","166,1","206,4"
Okres Námestovo,"777,6","15,9","19,7","17,7","25,4","21,0","24,2","28,4","31,2","30,9","47,0","50,1","49,9","63,6","82,1","125,0","168,0","197,3","211,2"
Okres Ružomberok,"629,5","87,6","92,4","87,8","89,7","157,1","300,5","230,8","260,5","142,1","111,6","97,0","98,9","91,1","122,8","207,4","262,2","267,3","290,3"
