nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Počet,
,,
,2020,2016
Bratislava I, 30 370,"26,227"
Bratislava II, 75 534,"66,934"
Bratislava III, 45 425,"39,018"
Bratislava IV, 64 498,"58,342"
Bratislava V, 74 113,"66,984"
Malacky, 41 829,"35,014"
Pezinok, 40 936,"34,982"
Senec, 54 406,"42,596"
Dunajská Streda, 62 964,"55,484"
Galanta, 50 902,"45,859"
Piešťany, 36 388,"22,078"
Senica, 32 054,"32,723"
Skalica, 25 507,"27,586"
Hlohovec, 24 745,"21,680"
Trnava, 76 678,"67,747"
Bánovce nad Bebravou, 20 170,"18,575"
Myjava, 14 573,"30,586"
Nové Mesto nad Váhom, 35 051,"13,100"
Považská Bystrica, 35 617,"31,892"
Púchov, 25 577,"22,766"
Partizánske, 24 897,"32,358"
Prievidza, 75 124,"70,401"
Ilava, 33 275,"23,277"
Trenčín, 66 773,"60,304"
Komárno, 44 000,"41,357"
Levice, 56 299,"52,408"
Nitra, 92 603,"84,041"
Zlaté Moravce, 23 509,"65,867"
Nové Zámky, 70 647,"23,791"
Šaľa, 26 054,"37,262"
Topoľčany, 39 714,"21,722"
Čadca, 46 129,"15,454"
Dolný Kubín, 22 701,"42,575"
Liptovský Mikuláš, 42 265,"20,567"
Martin, 54 094,"17,284"
Turčianske Teplice, 9 341,"40,480"
Námestovo, 33 089,"50,019"
Tvrdošín, 21 376,"28,396"
Ružomberok, 33 077,"30,833"
Bytča, 17 278,"8,781"
Kysucké Nové Mesto, 18 574,"19,468"
Žilina, 93 418,"85,804"
Banská Bystrica, 63 677,"58,296"
Brezno, 30 537,"7,791"
Lučenec, 31 112,"29,539"
Poltár, 10 460,"15,949"
Revúca, 15 257,"10,865"
Rimavská Sobota, 33 673,"28,438"
Veľký Krtíš, 19 866,"9,795"
Detva, 17 228,"14,248"
Krupina, 11 556,"31,481"
Zvolen, 37 151,"18,491"
Banská Štiavnica, 8 628,"34,434"
Žarnovica, 13 939,"13,017"
Žiar nad Hronom, 24 749,"23,214"
Bardejov, 37 860,"33,837"
Humenné, 29 855,"27,592"
Medzilaborce, 4 993,"26,813"
Snina, 16 082,"13,871"
Kežmarok, 30 656,"4,955"
Levoča, 15 708,"50,042"
Poprad, 55 966,"80,683"
Prešov, 89 246,"23,863"
Sabinov, 27 478,"14,713"
Stará Ľubovňa, 24 220,"21,737"
Stropkov, 9 584,"8,922"
Svidník, 15 189,"14,286"
Vranov nad Topľou, 34 799,"31,433"
Košice I, 34 940,"12,048"
Košice II, 39 371,"32,082"
Košice III, 14 469,"36,257"
Košice IV, 30 224,"13,102"
Košice - okolie, 58 287,"27,344"
Michalovce, 45 494,"50,957"
Sobrance, 10 277,"41,653"
Rožňava, 26 254,"24,202"
Gelnica, 12 809,"9,862"
Spišská Nová Ves, 42 953,"39,189"
Trebišov, 41 565,"39,083"
