nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Počet,
Strana,DS,
,,
,2016,2020
Bratislava I,15,  38
Bratislava II,33,  112
Bratislava III,23,  69
Bratislava IV,23,  79
Bratislava V,23,  106
Malacky,30,  66
Pezinok,35,  51
Senec,35,  78
Dunajská Streda,17,  26
Galanta,23,  47
Piešťany,21,  36
Senica,24,  46
Skalica,28,  16
Hlohovec,33,  29
Trnava,49,  148
Bánovce nad Bebravou,11,  24
Myjava,21,  68
Nové Mesto nad Váhom,18,  47
Považská Bystrica,38,  47
Púchov,15,  86
Partizánske,26,  34
Prievidza,45,  160
Ilava,16,  53
Trenčín,45,  169
Komárno,22,  44
Levice,40,  64
Nitra,66,  120
Zlaté Moravce,39,  20
Nové Zámky,19,  60
Šaľa,26,  27
Topoľčany,9,  54
Čadca,8,  46
Dolný Kubín,16,  25
Liptovský Mikuláš,10,  97
Martin,9,  100
Turčianske Teplice,38,  23
Námestovo,26,  47
Tvrdošín,24,  25
Ružomberok,24,  116
Bytča,6,  23
Kysucké Nové Mesto,12,  13
Žilina,46,  104
Banská Bystrica,26,  129
Brezno,5,  44
Lučenec,27,  36
Poltár,20,  11
Revúca,11,  19
Rimavská Sobota,25,  33
Veľký Krtíš,12,  15
Detva,23,  27
Krupina,30,  15
Zvolen,19,  48
Banská Štiavnica,30,  8
Žarnovica,12,  12
Žiar nad Hronom,16,  28
Bardejov,34,  64
Humenné,24,  15
Medzilaborce,45,  4
Snina,14,  21
Kežmarok,8,  55
Levoča,45,  16
Poprad,71,  62
Prešov,29,  110
Sabinov,10,  34
Stará Ľubovňa,17,  18
Stropkov,7,  26
Svidník,13,  36
Vranov nad Topľou,25,  38
Košice I,13,  64
Košice II,20,  73
Košice III,17,  8
Košice IV,18,  35
Košice - okolie,16,  69
Michalovce,68,  41
Sobrance,45,  18
Rožňava,26,  32
Gelnica,6,  31
Spišská Nová Ves,34,  193
Trebišov,49,  56
