nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Počet,
Strana, ĽSNS,
,,
,2016,2020
Bratislava I,707,899
Bratislava II,2685, 2 923
Bratislava III,1448, 1 825
Bratislava IV,2605, 2 859
Bratislava V,3211, 3 491
Malacky,2540, 3 101
Pezinok,2163, 2 324
Senec,2095, 2 339
Dunajská Streda,717,891
Galanta,2623, 2 755
Piešťany,2151, 3 393
Senica,3237, 2 792
Skalica,2266, 1 979
Hlohovec,1945, 2 400
Trnava,5845, 6 180
Bánovce nad Bebravou,1603, 1 985
Myjava,2998, 1 009
Nové Mesto nad Váhom,866, 3 103
Považská Bystrica,3208, 4 128
Púchov,2000, 2 522
Partizánske,3122, 2 394
Prievidza,6188, 7 391
Ilava,2030, 3 212
Trenčín,4473, 4 816
Komárno,851, 1 281
Levice,3575, 4 225
Nitra,7064, 7 887
Zlaté Moravce,3627, 2 355
Nové Zámky,1569, 4 952
Šaľa,3397, 1 345
Topoľčany,2120, 3 950
Čadca,1628, 6 242
Dolný Kubín,4605, 1 569
Liptovský Mikuláš,2589, 3 911
Martin,1933, 4 580
Turčianske Teplice,3631,973
Námestovo,3959, 3 006
Tvrdošín,2972, 1 988
Ružomberok,3324, 3 245
Bytča,800, 2 193
Kysucké Nové Mesto,2205, 2 411
Žilina,7478, 7 896
Banská Bystrica,5440, 4 822
Brezno,852, 3 766
Lučenec,4152, 2 778
Poltár,1752, 1 702
Revúca,1668, 1 995
Rimavská Sobota,1938, 3 626
Veľký Krtíš,1338, 2 247
Detva,1943, 2 079
Krupina,2726, 1 969
Zvolen,2054, 2 910
Banská Štiavnica,2730, 1 018
Žarnovica,1502, 2 111
Žiar nad Hronom,2807, 2 742
Bardejov,3285, 2 486
Humenné,2582, 2 358
Medzilaborce,3572,469
Snina,1228, 1 171
Kežmarok,287, 3 158
Levoča,5158, 1 635
Poprad,6352, 4 686
Prešov,2354, 6 002
Sabinov,919, 2 952
Stará Ľubovňa,2202, 2 534
Stropkov,747,802
Svidník,1071, 1 140
Vranov nad Topľou,3550, 3 901
Košice I,1351, 1 807
Košice II,2047, 2 142
Košice III,2553,836
Košice IV,970, 1 730
Košice - okolie,1828, 4 442
Michalovce,4543, 3 549
Sobrance,2919, 1 070
Rožňava,2101, 2 467
Gelnica,842, 1 851
Spišská Nová Ves,3961, 4 992
Trebišov,2347, 2 822
