nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Podiel,
Strana, ĽSNS,
,,
,2016,2020
Bratislava I,2.69,2.96
Bratislava II,4.01,3.86
Bratislava III,3.71,4.01
Bratislava IV,4.46,4.43
Bratislava V,4.79,4.71
Malacky,7.25,7.41
Pezinok,6.18,5.67
Senec,4.91,4.29
Dunajská Streda,1.29,1.41
Galanta,5.71,5.41
Piešťany,9.74,9.32
Senica,9.89,8.71
Skalica,8.21,7.75
Hlohovec,8.97,9.69
Trnava,8.62,8.05
Bánovce nad Bebravou,8.62,9.84
Myjava,9.80,6.92
Nové Mesto nad Váhom,6.61,8.85
Považská Bystrica,10.05,11.58
Púchov,8.78,9.86
Partizánske,9.64,9.61
Prievidza,8.78,9.83
Ilava,8.72,9.65
Trenčín,7.41,7.21
Komárno,2.05,2.91
Levice,6.82,7.50
Nitra,8.40,8.51
Zlaté Moravce,5.50,10.01
Nové Zámky,6.59,7.00
Šaľa,9.11,5.16
Topoľčany,9.75,9.94
Čadca,10.53,13.53
Dolný Kubín,10.81,6.91
Liptovský Mikuláš,12.58,9.25
Martin,11.18,8.46
Turčianske Teplice,8.96,10.41
Námestovo,7.91,9.08
Tvrdošín,10.46,9.30
Ružomberok,10.78,9.81
Bytča,9.11,12.69
Kysucké Nové Mesto,11.32,12.98
Žilina,8.71,8.45
Banská Bystrica,9.33,7.57
Brezno,10.93,12.33
Lučenec,14.05,8.92
Poltár,10.98,16.27
Revúca,15.35,13.07
Rimavská Sobota,6.81,10.76
Veľký Krtíš,13.66,11.31
Detva,13.63,12.06
Krupina,8.65,17.03
Zvolen,11.10,7.83
Banská Štiavnica,7.92,11.79
Žarnovica,11.53,15.14
Žiar nad Hronom,12.09,11.07
Bardejov,9.70,6.56
Humenné,9.35,7.89
Medzilaborce,13.32,9.39
Snina,8.85,7.28
Kežmarok,5.79,10.30
Levoča,10.30,10.40
Poprad,7.87,8.37
Prešov,9.86,6.72
Sabinov,6.24,10.74
Stará Ľubovňa,10.13,10.46
Stropkov,8.37,8.36
Svidník,7.49,7.50
Vranov nad Topľou,11.29,11.21
Košice I,11.21,5.17
Košice II,6.38,5.44
Košice III,7.04,5.77
Košice IV,7.40,5.72
Košice - okolie,6.68,7.62
Michalovce,8.91,7.80
Sobrance,7.00,10.41
Rožňava,8.68,9.39
Gelnica,8.53,14.45
Spišská Nová Ves,10.10,11.62
Trebišov,6.00,6.78
