nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Podiel,
Strana,MOST - HÍD,
,,
,2016,2020
Bratislava I,12.42,0.79
Bratislava II,9.51,1.47
Bratislava III,8.50,0.73
Bratislava IV,7.92,0.66
Bratislava V,7.99,0.92
Malacky,3.47,0.33
Pezinok,3.93,0.28
Senec,12.00,2.44
Dunajská Streda,33.56,16.95
Galanta,19.18,7.59
Piešťany,2.03,0.24
Senica,2.82,0.18
Skalica,3.08,0.18
Hlohovec,2.59,0.15
Trnava,2.29,0.24
Bánovce nad Bebravou,1.32,0.12
Myjava,1.66,0.09
Nové Mesto nad Váhom,2.32,0.19
Považská Bystrica,2.09,0.17
Púchov,1.63,0.17
Partizánske,1.34,0.13
Prievidza,1.82,0.25
Ilava,1.73,0.17
Trenčín,2.87,0.21
Komárno,27.94,12.64
Levice,13.05,4.36
Nitra,5.93,1.48
Zlaté Moravce,18.00,0.35
Nové Zámky,18.48,6.31
Šaľa,1.36,6.57
Topoľčany,1.93,0.15
Čadca,1.11,0.11
Dolný Kubín,0.78,0.17
Liptovský Mikuláš,1.64,0.17
Martin,0.86,0.27
Turčianske Teplice,3.09,0.32
Námestovo,2.41,0.10
Tvrdošín,0.66,0.10
Ružomberok,1.80,0.26
Bytča,1.82,0.15
Kysucké Nové Mesto,0.82,0.10
Žilina,2.14,0.12
Banská Bystrica,3.94,0.31
Brezno,3.60,0.32
Lučenec,2.48,7.24
Poltár,1.60,0.48
Revúca,2.19,6.41
Rimavská Sobota,12.54,14.76
Veľký Krtíš,1.70,6.99
Detva,10.40,0.20
Krupina,17.71,0.54
Zvolen,11.90,0.27
Banská Štiavnica,3.52,0.33
Žarnovica,2.35,0.18
Žiar nad Hronom,5.98,0.46
Bardejov,1.72,1.24
Humenné,2.20,0.69
Medzilaborce,3.72,1.70
Snina,1.50,1.11
Kežmarok,4.76,1.36
Levoča,3.55,0.16
Poprad,3.67,0.29
Prešov,1.24,0.58
Sabinov,1.86,0.22
Stará Ľubovňa,1.19,0.18
Stropkov,1.55,0.84
Svidník,2.69,2.48
Vranov nad Topľou,1.26,0.32
Košice I,2.50,1.09
Košice II,8.03,0.83
Košice III,6.41,0.80
Košice IV,5.72,1.04
Košice - okolie,6.88,2.18
Michalovce,8.99,4.34
Sobrance,6.60,1.03
Rožňava,16.81,5.97
Gelnica,1.08,0.56
Spišská Nová Ves,3.63,0.37
Trebišov,11.50,8.25
