nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Počet,
Strana,OĽANO,
,,
,2016,2020
Bratislava I,4050, 5 750
Bratislava II,8890, 19 040
Bratislava III,5565, 10 648
Bratislava IV,8721, 15 521
Bratislava V,9388, 19 372
Malacky,4926, 13 410
Pezinok,5213, 12 226
Senec,5792, 16 456
Dunajská Streda,2465, 10 150
Galanta,4058, 13 727
Piešťany,2877, 10 223
Senica,4746, 10 296
Skalica,3308, 9 869
Hlohovec,3440, 6 499
Trnava,10954, 26 080
Bánovce nad Bebravou,1445, 4 404
Myjava,2930, 4 034
Nové Mesto nad Váhom,1495, 9 649
Považská Bystrica,3301, 7 276
Púchov,2010, 5 901
Partizánske,2684, 5 554
Prievidza,6263, 17 369
Ilava,2386, 7 397
Trenčín,7293, 17 779
Komárno,1960, 7 751
Levice,4948, 14 099
Nitra,8597, 23 298
Zlaté Moravce,4445, 5 143
Nové Zámky,1880, 15 975
Šaľa,3141, 6 717
Topoľčany,1936, 8 297
Čadca,1243, 8 669
Dolný Kubín,2836, 6 751
Liptovský Mikuláš,2559, 10 091
Martin,1396, 13 892
Turčianske Teplice,4347, 2 184
Námestovo,6472, 9 126
Tvrdošín,3043, 6 283
Ružomberok,4163, 9 111
Bytča,806, 3 786
Kysucké Nové Mesto,2817, 3 527
Žilina,10205, 24 212
Banská Bystrica,7548, 14 911
Brezno,762, 6 744
Lučenec,2579, 7 388
Poltár,1257, 1 979
Revúca,996, 3 185
Rimavská Sobota,2755, 5 711
Veľký Krtíš,584, 4 043
Detva,1025, 3 367
Krupina,1928, 2 548
Zvolen,1218, 8 590
Banská Štiavnica,3823, 1 895
Žarnovica,1382, 3 047
Žiar nad Hronom,2153, 5 515
Bardejov,4686, 9 856
Humenné,2717, 6 681
Medzilaborce,3202,762
Snina,1667, 2 884
Kežmarok,287, 9 033
Levoča,6761, 4 298
Poprad,12267, 15 194
Prešov,2835, 26 264
Sabinov,1021, 7 266
Stará Ľubovňa,2534, 5 696
Stropkov,764, 1 909
Svidník,1059, 2 980
Vranov nad Topľou,2857, 7 584
Košice I,866, 9 751
Košice II,4932, 11 393
Košice III,5506, 4 125
Košice IV,1888, 8 431
Košice - okolie,3923, 17 121
Michalovce,5675, 10 765
Sobrance,3425, 1 857
Rožňava,1920, 6 470
Gelnica,567, 2 850
Spišská Nová Ves,4428, 11 425
Trebišov,2687, 9 566
