nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Počet,
Strana,OĽANO,
,,
,2016,2020
Bratislava I,15.44,18.93
Bratislava II,13.28,25.20
Bratislava III,14.26,23.44
Bratislava IV,14.94,24.06
Bratislava V,14.01,26.13
Malacky,14.06,32.05
Pezinok,14.90,29.86
Senec,13.59,30.24
Dunajská Streda,4.44,16.12
Galanta,8.84,26.96
Piešťany,13.03,28.09
Senica,14.50,32.12
Skalica,11.99,38.69
Hlohovec,15.86,26.26
Trnava,16.16,34.01
Bánovce nad Bebravou,7.77,21.83
Myjava,9.57,27.68
Nové Mesto nad Váhom,11.41,27.52
Považská Bystrica,10.35,20.42
Púchov,8.82,23.07
Partizánske,8.29,22.30
Prievidza,8.89,23.12
Ilava,10.25,22.22
Trenčín,12.09,26.62
Komárno,4.73,17.61
Levice,9.44,25.04
Nitra,10.22,25.15
Zlaté Moravce,6.74,21.87
Nové Zámky,7.90,22.61
Šaľa,8.42,25.78
Topoľčany,8.91,20.89
Čadca,8.04,18.79
Dolný Kubín,6.66,29.73
Liptovský Mikuláš,12.44,23.87
Martin,8.07,25.68
Turčianske Teplice,10.73,23.38
Námestovo,12.93,27.58
Tvrdošín,10.71,29.39
Ružomberok,13.50,27.54
Bytča,9.17,21.91
Kysucké Nové Mesto,14.46,18.98
Žilina,11.89,25.91
Banská Bystrica,12.94,23.41
Brezno,9.78,22.08
Lučenec,8.73,23.74
Poltár,7.88,18.91
Revúca,9.16,20.87
Rimavská Sobota,9.68,16.96
Veľký Krtíš,5.96,20.35
Detva,7.19,19.54
Krupina,6.12,22.04
Zvolen,6.58,23.12
Banská Štiavnica,11.10,21.96
Žarnovica,10.61,21.85
Žiar nad Hronom,9.27,22.28
Bardejov,13.84,26.03
Humenné,9.84,22.37
Medzilaborce,11.94,15.26
Snina,12.01,17.93
Kežmarok,5.79,29.46
Levoča,13.51,27.36
Poprad,15.20,27.14
Prešov,11.88,29.42
Sabinov,6.93,26.44
Stará Ľubovňa,11.65,23.51
Stropkov,8.56,19.91
Svidník,7.41,19.61
Vranov nad Topľou,9.08,21.79
Košice I,7.18,27.90
Košice II,15.37,28.93
Košice III,15.18,28.50
Košice IV,14.41,27.89
Košice - okolie,14.34,29.37
Michalovce,11.13,23.66
Sobrance,8.22,18.06
Rožňava,7.93,24.64
Gelnica,5.74,22.24
Spišská Nová Ves,11.29,26.59
Trebišov,6.87,23.01
