nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Počet,
,,
,2020,2016
Bratislava I, 30 370,26227
Bratislava II, 75 534,66934
Bratislava III, 45 425,39018
Bratislava IV, 64 498,58342
Bratislava V, 74 113,66984
Malacky, 41 829,35014
Pezinok, 40 936,34982
Senec, 54 406,42596
Dunajská Streda, 62 964,55484
Galanta, 50 902,45859
Piešťany, 36 388,22078
Senica, 32 054,32723
Skalica, 25 507,27586
Hlohovec, 24 745,21680
Trnava, 76 678,67747
Bánovce nad Bebravou, 20 170,18575
Myjava, 14 573,30586
Nové Mesto nad Váhom, 35 051,13100
Považská Bystrica, 35 617,31892
Púchov, 25 577,22766
Partizánske, 24 897,32358
Prievidza, 75 124,70401
Ilava, 33 275,23277
Trenčín, 66 773,60304
Komárno, 44 000,41357
Levice, 56 299,52408
Nitra, 92 603,84041
Zlaté Moravce, 23 509,65867
Nové Zámky, 70 647,23791
Šaľa, 26 054,37262
Topoľčany, 39 714,21722
Čadca, 46 129,15454
Dolný Kubín, 22 701,42575
Liptovský Mikuláš, 42 265,20567
Martin, 54 094,17284
Turčianske Teplice, 9 341,40480
Námestovo, 33 089,50019
Tvrdošín, 21 376,28396
Ružomberok, 33 077,30833
Bytča, 17 278,8781
Kysucké Nové Mesto, 18 574,19468
Žilina, 93 418,85804
Banská Bystrica, 63 677,58296
Brezno, 30 537,7791
Lučenec, 31 112,29539
Poltár, 10 460,15949
Revúca, 15 257,10865
Rimavská Sobota, 33 673,28438
Veľký Krtíš, 19 866,9795
Detva, 17 228,14248
Krupina, 11 556,31481
Zvolen, 37 151,18491
Banská Štiavnica, 8 628,34434
Žarnovica, 13 939,13017
Žiar nad Hronom, 24 749,23214
Bardejov, 37 860,33837
Humenné, 29 855,27592
Medzilaborce, 4 993,26813
Snina, 16 082,13871
Kežmarok, 30 656,4955
Levoča, 15 708,50042
Poprad, 55 966,80683
Prešov, 89 246,23863
Sabinov, 27 478,14713
Stará Ľubovňa, 24 220,21737
Stropkov, 9 584,8922
Svidník, 15 189,14286
Vranov nad Topľou, 34 799,31433
Košice I, 34 940,12048
Košice II, 39 371,32082
Košice III, 14 469,36257
Košice IV, 30 224,13102
Košice - okolie, 58 287,27344
Michalovce, 45 494,50957
Sobrance, 10 277,41653
Rožňava, 26 254,24202
Gelnica, 12 809,9862
Spišská Nová Ves, 42 953,39189
Trebišov, 41 565,39083
