nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Počet,
Strana,SMER - SD,
,,
,2016,2020
Bratislava I,3929, 2 748
Bratislava II,12421, 8 643
Bratislava III,7608, 5 173
Bratislava IV,10672, 7 667
Bratislava V,12307, 9 228
Malacky,9426, 6 451
Pezinok,8453, 6 039
Senec,6954, 5 479
Dunajská Streda,2871, 2 473
Galanta,8897, 6 285
Piešťany,7613, 7 021
Senica,9442, 5 906
Skalica,8665, 3 504
Hlohovec,5631, 5 637
Trnava,19692, 14 282
Bánovce nad Bebravou,7638, 5 406
Myjava,10984, 3 120
Nové Mesto nad Váhom,4582, 7 477
Považská Bystrica,10832, 8 675
Púchov,8776, 6 495
Partizánske,11566, 6 321
Prievidza,26208, 18 584
Ilava,8793, 8 189
Trenčín,18397, 13 354
Komárno,3974, 2 742
Levice,12445, 8 776
Nitra,26660, 19 551
Zlaté Moravce,15700, 6 050
Nové Zámky,4530, 10 797
Šaľa,15883, 3 260
Topoľčany,8616, 11 499
Čadca,5851, 14 334
Dolný Kubín,19390, 3 636
Liptovský Mikuláš,5276, 8 253
Martin,6789, 11 115
Turčianske Teplice,11518, 2 466
Námestovo,15207, 4 363
Tvrdošín,6889, 2 953
Ružomberok,8592, 5 554
Bytča,3447, 4 430
Kysucké Nové Mesto,4697, 5 112
Žilina,25666, 18 348
Banská Bystrica,15279, 13 248
Brezno,2496, 6 889
Lučenec,9863, 5 486
Poltár,6025, 2 903
Revúca,3490, 2 994
Rimavská Sobota,7403, 4 766
Veľký Krtíš,3960, 3 693
Detva,4313, 4 526
Krupina,6760, 2 300
Zvolen,4832, 7 792
Banská Štiavnica,10226, 1 829
Žarnovica,4528, 3 193
Žiar nad Hronom,7292, 5 262
Bardejov,11744, 8 486
Humenné,9975, 7 932
Medzilaborce,7788, 1 709
Snina,4003, 5 338
Kežmarok,2338, 4 523
Levoča,12823, 2 687
Poprad,21383, 8 364
Prešov,8169, 15 127
Sabinov,6889, 6 175
Stará Ľubovňa,8521, 5 542
Stropkov,3637, 2 461
Svidník,6215, 4 261
Vranov nad Topľou,12911, 9 619
Košice I,4558, 4 310
Košice II,5911, 5 561
Košice III,7975, 2 374
Košice IV,3122, 4 651
Košice - okolie,6486, 8 926
Michalovce,13078, 10 870
Sobrance,15372, 3 254
Rožňava,5286, 3 580
Gelnica,4594, 3 149
Spišská Nová Ves,11656, 7 612
Trebišov,13031, 8 293
