nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Podiel,
Strana,SNS,
,,
,2020,2016
Bratislava I,1.57,4.37
Bratislava II,1.83,5.58
Bratislava III,1.96,5.98
Bratislava IV,2.01,6.01
Bratislava V,1.99,6.18
Malacky,2.04,6.79
Pezinok,2.52,7.82
Senec,1.78,5.97
Dunajská Streda,0.47,1.23
Galanta,1.88,5.41
Piešťany,2.88,8.61
Senica,2.56,8.91
Skalica,3.04,7.09
Hlohovec,3.68,5.73
Trnava,2.54,7.80
Bánovce nad Bebravou,4.56,11.45
Myjava,3,11.32
Nové Mesto nad Váhom,2.93,10.80
Považská Bystrica,5.43,9.36
Púchov,4.27,10.63
Partizánske,3.96,14.09
Prievidza,3.72,11.08
Ilava,4.15,11.62
Trenčín,3.74,9.87
Komárno,0.9,2.67
Levice,2.47,6.73
Nitra,3.2,9.14
Zlaté Moravce,5.37,6.62
Nové Zámky,2.78,5.88
Šaľa,2.01,11.82
Topoľčany,5.13,12.01
Čadca,4.71,16.86
Dolný Kubín,3.29,12.94
Liptovský Mikuláš,4.65,9.93
Martin,3.97,17.50
Turčianske Teplice,4.33,13.12
Námestovo,5.13,11.29
Tvrdošín,6.89,12.29
Ružomberok,4.31,11.51
Bytča,5.61,11.69
Kysucké Nové Mesto,6.67,14.91
Žilina,4.59,12.38
Banská Bystrica,2.47,9.11
Brezno,3.42,12.11
Lučenec,2.52,10.75
Poltár,5.35,13.75
Revúca,4.13,11.84
Rimavská Sobota,2.41,7.89
Veľký Krtíš,2.57,13.23
Detva,4.36,5.96
Krupina,3.51,7.03
Zvolen,3.12,6.94
Banská Štiavnica,3.21,10.17
Žarnovica,3.5,10.87
Žiar nad Hronom,3.46,11.47
Bardejov,3.55,9.12
Humenné,4.59,10.30
Medzilaborce,5.14,6.85
Snina,4.9,9.27
Kežmarok,2.94,9.46
Levoča,3.2,8.70
Poprad,2.58,8.00
Prešov,3.13,8.77
Sabinov,3.66,12.52
Stará Ľubovňa,4.62,8.99
Stropkov,5.18,10.44
Svidník,6.45,9.88
Vranov nad Topľou,4.16,9.25
Košice I,1.86,8.93
Košice II,1.87,5.50
Košice III,2.26,5.62
Košice IV,1.99,6.80
Košice - okolie,2.19,5.83
Michalovce,3.71,5.93
Sobrance,5.35,7.60
Rožňava,3.2,8.53
Gelnica,3.63,11.94
Spišská Nová Ves,3.28,9.34
Trebišov,2.17,4.46
