nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty
Jednotky,Počet
Strana,Sas
,
,2020
Bratislava I, 4 566
Bratislava II, 10 381
Bratislava III, 6 320
Bratislava IV, 8 562
Bratislava V, 9 297
Malacky, 3 373
Pezinok, 3 776
Senec, 6 089
Dunajská Streda, 1 859
Galanta, 2 553
Piešťany, 2 507
Senica, 1 742
Skalica, 1 642
Hlohovec, 1 251
Trnava, 4 999
Bánovce nad Bebravou,  844
Myjava, 1 066
Nové Mesto nad Váhom, 2 104
Považská Bystrica, 1 851
Púchov, 1 211
Partizánske, 1 262
Prievidza, 4 131
Ilava, 1 773
Trenčín, 4 451
Komárno, 1 241
Levice, 2 640
Nitra, 6 416
Zlaté Moravce, 1 089
Nové Zámky, 2 862
Šaľa, 1 512
Topoľčany, 1 710
Čadca, 1 677
Dolný Kubín, 1 464
Liptovský Mikuláš, 2 927
Martin, 3 476
Turčianske Teplice,  424
Námestovo,  863
Tvrdošín,  883
Ružomberok, 1 748
Bytča,  658
Kysucké Nové Mesto,  741
Žilina, 7 026
Banská Bystrica, 5 376
Brezno, 1 619
Lučenec, 1 370
Poltár,  295
Revúca,  383
Rimavská Sobota,  985
Veľký Krtíš,  725
Detva,  717
Krupina,  619
Zvolen, 2 705
Banská Štiavnica,  435
Žarnovica,  645
Žiar nad Hronom, 1 538
Bardejov, 1 409
Humenné, 1 036
Medzilaborce,  149
Snina,  432
Kežmarok, 1 083
Levoča,  467
Poprad, 3 489
Prešov, 4 557
Sabinov,  861
Stará Ľubovňa,  824
Stropkov,  359
Svidník,  479
Vranov nad Topľou,  872
Košice I, 3 313
Košice II, 3 274
Košice III, 1 036
Košice IV, 2 361
Košice - okolie, 2 585
Michalovce, 1 527
Sobrance,  235
Rožňava,  980
Gelnica,  397
Spišská Nová Ves, 1 775
Trebišov, 1 032
