nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty
Jednotky,Podiel v %
Strana,Sas
,
,2020
Bratislava I,15.03
Bratislava II,13.74
Bratislava III,13.91
Bratislava IV,13.27
Bratislava V,12.54
Malacky,8.06
Pezinok,9.22
Senec,11.19
Dunajská Streda,2.95
Galanta,5.01
Piešťany,6.88
Senica,5.43
Skalica,6.43
Hlohovec,5.05
Trnava,6.51
Bánovce nad Bebravou,4.18
Myjava,7.31
Nové Mesto nad Váhom,6.00
Považská Bystrica,5.19
Púchov,4.73
Partizánske,5.06
Prievidza,5.49
Ilava,5.32
Trenčín,6.66
Komárno,2.82
Levice,4.68
Nitra,6.92
Zlaté Moravce,4.63
Nové Zámky,4.05
Šaľa,5.80
Topoľčany,4.30
Čadca,3.63
Dolný Kubín,6.44
Liptovský Mikuláš,6.92
Martin,6.42
Turčianske Teplice,4.53
Námestovo,2.60
Tvrdošín,4.13
Ružomberok,5.28
Bytča,3.80
Kysucké Nové Mesto,3.98
Žilina,7.52
Banská Bystrica,8.44
Brezno,5.30
Lučenec,4.40
Poltár,2.82
Revúca,2.51
Rimavská Sobota,2.92
Veľký Krtíš,3.64
Detva,4.16
Krupina,5.35
Zvolen,7.28
Banská Štiavnica,5.04
Žarnovica,4.62
Žiar nad Hronom,6.21
Bardejov,3.72
Humenné,3.47
Medzilaborce,2.98
Snina,2.68
Kežmarok,3.53
Levoča,2.97
Poprad,6.23
Prešov,5.10
Sabinov,3.13
Stará Ľubovňa,3.40
Stropkov,3.74
Svidník,3.15
Vranov nad Topľou,2.50
Košice I,9.48
Košice II,8.31
Košice III,7.16
Košice IV,7.81
Košice - okolie,4.43
Michalovce,3.35
Sobrance,2.28
Rožňava,3.73
Gelnica,3.09
Spišská Nová Ves,4.13
Trebišov,2.48
