nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty
Jednotky,Počet 
Strana,SNS
,
,2020
Bratislava I,  479
Bratislava II, 1 386
Bratislava III,  894
Bratislava IV, 1 298
Bratislava V, 1 475
Malacky,  857
Pezinok, 1 035
Senec,  969
Dunajská Streda,  299
Galanta,  959
Piešťany, 1 051
Senica,  822
Skalica,  776
Hlohovec,  913
Trnava, 1 955
Bánovce nad Bebravou,  920
Myjava,  438
Nové Mesto nad Váhom, 1 030
Považská Bystrica, 1 935
Púchov, 1 093
Partizánske,  986
Prievidza, 2 802
Ilava, 1 382
Trenčín, 2 498
Komárno,  397
Levice, 1 395
Nitra, 2 969
Zlaté Moravce, 1 264
Nové Zámky, 1 965
Šaľa,  525
Topoľčany, 2 038
Čadca, 2 175
Dolný Kubín,  749
Liptovský Mikuláš, 1 969
Martin, 2 148
Turčianske Teplice,  405
Námestovo, 1 699
Tvrdošín, 1 474
Ružomberok, 1 428
Bytča,  970
Kysucké Nové Mesto, 1 239
Žilina, 4 292
Banská Bystrica, 1 578
Brezno, 1 046
Lučenec,  787
Poltár,  560
Revúca,  631
Rimavská Sobota,  812
Veľký Krtíš,  511
Detva,  752
Krupina,  406
Zvolen, 1 162
Banská Štiavnica,  277
Žarnovica,  489
Žiar nad Hronom,  857
Bardejov, 1 347
Humenné, 1 373
Medzilaborce,  257
Snina,  789
Kežmarok,  904
Levoča,  503
Poprad, 1 449
Prešov, 2 802
Sabinov, 1 008
Stará Ľubovňa, 1 121
Stropkov,  497
Svidník,  980
Vranov nad Topľou, 1 448
Košice I,  651
Košice II,  738
Košice III,  327
Košice IV,  603
Košice - okolie, 1 280
Michalovce, 1 690
Sobrance,  550
Rožňava,  841
Gelnica,  466
Spišská Nová Ves, 1 409
Trebišov,  903
