nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty
Jednotky,Podiel v %
Strana,SNS
,
,2020
Bratislava I,1.57
Bratislava II,1.83
Bratislava III,1.96
Bratislava IV,2.01
Bratislava V,1.99
Malacky,2.04
Pezinok,2.52
Senec,1.78
Dunajská Streda,0.47
Galanta,1.88
Piešťany,2.88
Senica,2.56
Skalica,3.04
Hlohovec,3.68
Trnava,2.54
Bánovce nad Bebravou,4.56
Myjava,3.00
Nové Mesto nad Váhom,2.93
Považská Bystrica,5.43
Púchov,4.27
Partizánske,3.96
Prievidza,3.72
Ilava,4.15
Trenčín,3.74
Komárno,0.90
Levice,2.47
Nitra,3.20
Zlaté Moravce,5.37
Nové Zámky,2.78
Šaľa,2.01
Topoľčany,5.13
Čadca,4.71
Dolný Kubín,3.29
Liptovský Mikuláš,4.65
Martin,3.97
Turčianske Teplice,4.33
Námestovo,5.13
Tvrdošín,6.89
Ružomberok,4.31
Bytča,5.61
Kysucké Nové Mesto,6.67
Žilina,4.59
Banská Bystrica,2.47
Brezno,3.42
Lučenec,2.52
Poltár,5.35
Revúca,4.13
Rimavská Sobota,2.41
Veľký Krtíš,2.57
Detva,4.36
Krupina,3.51
Zvolen,3.12
Banská Štiavnica,3.21
Žarnovica,3.50
Žiar nad Hronom,3.46
Bardejov,3.55
Humenné,4.59
Medzilaborce,5.14
Snina,4.90
Kežmarok,2.94
Levoča,3.20
Poprad,2.58
Prešov,3.13
Sabinov,3.66
Stará Ľubovňa,4.62
Stropkov,5.18
Svidník,6.45
Vranov nad Topľou,4.16
Košice I,1.86
Košice II,1.87
Košice III,2.26
Košice IV,1.99
Košice - okolie,2.19
Michalovce,3.71
Sobrance,5.35
Rožňava,3.20
Gelnica,3.63
Spišská Nová Ves,3.28
Trebišov,2.17
