nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Podiel,
Strana,DS,
,,
,2016,2020
Bratislava I,0.05,0.12
Bratislava II,0.04,0.14
Bratislava III,0.05,0.15
Bratislava IV,0.03,0.12
Bratislava V,0.03,0.14
Malacky,0.08,0.15
Pezinok,0.1,0.12
Senec,0.08,0.14
Dunajská Streda,0.03,0.04
Galanta,0.05,0.09
Piešťany,0.09,0.09
Senica,0.07,0.14
Skalica,0.1,0.06
Hlohovec,0.15,0.11
Trnava,0.07,0.19
Bánovce nad Bebravou,0.05,0.11
Myjava,0.06,0.46
Nové Mesto nad Váhom,0.13,0.13
Považská Bystrica,0.11,0.13
Púchov,0.06,0.33
Partizánske,0.08,0.13
Prievidza,0.06,0.21
Ilava,0.06,0.15
Trenčín,0.07,0.25
Komárno,0.05,0.1
Levice,0.07,0.11
Nitra,0.07,0.12
Zlaté Moravce,0.05,0.08
Nové Zámky,0.07,0.08
Šaľa,0.06,0.1
Topoľčany,0.04,0.13
Čadca,0.05,0.09
Dolný Kubín,0.03,0.11
Liptovský Mikuláš,0.04,0.22
Martin,0.05,0.18
Turčianske Teplice,0.09,0.24
Námestovo,0.05,0.14
Tvrdošín,0.08,0.11
Ružomberok,0.07,0.35
Bytča,0.06,0.13
Kysucké Nové Mesto,0.06,0.06
Žilina,0.05,0.11
Banská Bystrica,0.04,0.2
Brezno,0.06,0.14
Lučenec,0.09,0.11
Poltár,0.12,0.1
Revúca,0.1,0.12
Rimavská Sobota,0.08,0.09
Veľký Krtíš,0.12,0.07
Detva,0.16,0.15
Krupina,0.09,0.12
Zvolen,0.1,0.12
Banská Štiavnica,0.08,0.09
Žarnovica,0.09,0.08
Žiar nad Hronom,0.06,0.11
Bardejov,0.1,0.16
Humenné,0.08,0.05
Medzilaborce,0.16,0.08
Snina,0.1,0.13
Kežmarok,0.16,0.17
Levoča,0.08,0.1
Poprad,0.08,0.11
Prešov,0.12,0.12
Sabinov,0.06,0.12
Stará Ľubovňa,0.07,0.07
Stropkov,0.07,0.27
Svidník,0.09,0.23
Vranov nad Topľou,0.07,0.1
Košice I,0.1,0.18
Košice II,0.06,0.18
Košice III,0.04,0.05
Košice IV,0.13,0.11
Košice - okolie,0.05,0.11
Michalovce,0.13,0.09
Sobrance,0.1,0.17
Rožňava,0.1,0.12
Gelnica,0.06,0.24
Spišská Nová Ves,0.08,0.44
Trebišov,0.12,0.13
