nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Počet,
Strana,MOST - HÍD,
,,
,2016,2020
Bratislava I,3259,241
Bratislava II,6369, 1 112
Bratislava III,3319,335
Bratislava IV,4626,427
Bratislava V,5358,689
Malacky,1215,140
Pezinok,1377,118
Senec,5114, 1 331
Dunajská Streda,18621, 10 673
Galanta,8800, 3 865
Piešťany,450,89
Senica,923,60
Skalica,850,46
Hlohovec,562,39
Trnava,1557,191
Bánovce nad Bebravou,247,25
Myjava,509,14
Nové Mesto nad Váhom,304,68
Považská Bystrica,667,64
Púchov,373,46
Partizánske,435,33
Prievidza,1288,188
Ilava,403,57
Trenčín,1734,142
Komárno,11558, 5 565
Levice,6840, 2 459
Nitra,4989, 1 372
Zlaté Moravce,11860,83
Nové Zámky,4397, 4 460
Šaľa,508, 1 712
Topoľčany,421,62
Čadca,172,54
Dolný Kubín,336,39
Liptovský Mikuláš,338,75
Martin,149,150
Turčianske Teplice,1254,30
Námestovo,1206,35
Tvrdošín,189,23
Ružomberok,558,87
Bytča,160,27
Kysucké Nové Mesto,161,19
Žilina,1844,113
Banská Bystrica,2299,199
Brezno,281,99
Lučenec,734, 2 254
Poltár,256,51
Revúca,239,978
Rimavská Sobota,3568, 4 971
Veľký Krtíš,167, 1 389
Detva,1482,35
Krupina,5578,63
Zvolen,2202,104
Banská Štiavnica,1213,29
Žarnovica,307,26
Žiar nad Hronom,1390,116
Bardejov,584,473
Humenné,609,207
Medzilaborce,1000,85
Snina,209,179
Kežmarok,236,419
Levoča,1781,26
Poprad,2963,164
Prešov,296,522
Sabinov,274,61
Stará Ľubovňa,259,44
Stropkov,139,81
Svidník,385,378
Vranov nad Topľou,399,113
Košice I,302,383
Košice II,2577,329
Košice III,2325,116
Košice IV,750,316
Košice - okolie,1884, 1 276
Michalovce,4585, 1 975
Sobrance,2751,106
Rožňava,4070, 1 568
Gelnica,107,72
Spišská Nová Ves,1426,162
Trebišov,4498, 3 433
