nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Podiel,
,,
,2020,2016
Bratislava I,78.75,68.89
Bratislava II,73.38,66.07
Bratislava III,75.60,68.73
Bratislava IV,75.61,67.73
Bratislava V,66.05,65.26
Malacky,68.80,59.54
Pezinok,75.70,67.51
Senec,76.94,69.02
Dunajská Streda,62.11,56.46
Galanta,65.50,59.19
Piešťany,69.31,60.70
Senica,65.23,62.85
Skalica,66.39,56.29
Hlohovec,68.23,57.04
Trnava,71.91,64.26
Bánovce nad Bebravou,68.77,62.12
Myjava,66.55,62.80
Nové Mesto nad Váhom,69.49,58.72
Považská Bystrica,70.28,62.93
Púchov,69.46,60.39
Partizánske,67.50,62.92
Prievidza,68.30,63.11
Ilava,69.41,64.06
Trenčín,72.26,65.44
Komárno,52.75,49.02
Levice,61.79,56.61
Nitra,69.08,63.12
Zlaté Moravce,69.56,56.53
Nové Zámky,61.62,55.71
Šaľa,62.19,62.33
Topoľčany,67.30,64.03
Čadca,64.31,63.42
Dolný Kubín,72.39,59.42
Liptovský Mikuláš,69.95,66.48
Martin,70.07,65.78
Turčianske Teplice,68.97,64.14
Námestovo,72.31,64.24
Tvrdošín,75.44,64.77
Ružomberok,70.47,65.08
Bytča,69.85,64.03
Kysucké Nové Mesto,70.68,70.42
Žilina,72.31,66.84
Banská Bystrica,71.07,64.63
Brezno,61.72,59.58
Lučenec,55.10,58.55
Poltár,61.47,60.84
Revúca,51.34,60.69
Rimavská Sobota,54.42,50.00
Veľký Krtíš,58.13,56.43
Detva,66.26,46.93
Krupina,65.36,50.54
Zvolen,67.96,52.79
Banská Štiavnica,65.73,62.42
Žarnovica,66.28,61.46
Žiar nad Hronom,66.33,61.55
Bardejov,64.40,57.73
Humenné,61.05,55.49
Medzilaborce,55.63,53.85
Snina,56.22,56.24
Kežmarok,58.77,53.54
Levoča,62.15,60.70
Poprad,66.46,62.09
Prešov,67.66,56.92
Sabinov,63.77,50.24
Stará Ľubovňa,61.79,56.58
Stropkov,60.46,56.42
Svidník,60.10,56.33
Vranov nad Topľou,58.54,53.17
Košice I,65.38,51.39
Košice II,61.37,59.31
Košice III,60.98,55.87
Košice IV,64.26,54.58
Košice - okolie,60.95,58.65
Michalovce,53.82,55.63
Sobrance,58.66,43.55
Rožňava,56.14,51.62
Gelnica,54.91,55.85
Spišská Nová Ves,59.38,54.67
Trebišov,52.24,48.81
