nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Počet,
Strana,Sas,
,,
,2020,2016
Bratislava I,4566,7764
Bratislava II,10381,17800
Bratislava III,6320,10485
Bratislava IV, 8 562,15474
Bratislava V, 9 297,17244
Malacky, 3 373,6109
Pezinok, 3 776,6756
Senec, 6 089,8916
Dunajská Streda, 1 859,2465
Galanta, 2 553,3875
Piešťany, 2 507,2401
Senica, 1 742,4613
Skalica, 1 642,3240
Hlohovec, 1 251,3084
Trnava, 4 999,9247
Bánovce nad Bebravou,844,1549
Myjava, 1 066,3104
Nové Mesto nad Váhom, 2 104,1799
Považská Bystrica, 1 851,4013
Púchov, 1 211,2258
Partizánske, 1 262,3399
Prievidza, 4 131,7629
Ilava, 1 773,2236
Trenčín, 4 451,8420
Komárno, 1 241,1946
Levice, 2 640,4446
Nitra, 6 416,10605
Zlaté Moravce, 1 089,4581
Nové Zámky, 2 862,2484
Šaľa, 1 512,2930
Topoľčany, 1 710,1726
Čadca, 1 677,976
Dolný Kubín, 1 464,2731
Liptovský Mikuláš, 2 927,2512
Martin, 3 476,1202
Turčianske Teplice,424,6433
Námestovo,863,6661
Tvrdošín,883,1473
Ružomberok, 1 748,3050
Bytča,658,717
Kysucké Nové Mesto,741,1624
Žilina, 7 026,11852
Banská Bystrica, 5 376,10122
Brezno, 1 619,871
Lučenec, 1 370,3086
Poltár,295,1355
Revúca,383,937
Rimavská Sobota,985,2118
Veľký Krtíš,725,625
Detva,717,785
Krupina,619,1704
Zvolen, 2 705,929
Banská Štiavnica,435,5169
Žarnovica,645,1043
Žiar nad Hronom, 1 538,2548
Bardejov, 1 409,2175
Humenné, 1 036,1647
Medzilaborce,149,2123
Snina,432,915
Kežmarok, 1 083,234
Levoča,467,7282
Poprad, 3 489,8510
Prešov, 4 557,1441
Sabinov,861,730
Stará Ľubovňa,824,1205
Stropkov,359,524
Svidník,479,784
Vranov nad Topľou,872,1411
Košice I, 3 313,720
Košice II, 3 274,6087
Košice III, 1 036,6013
Košice IV, 2 361,1944
Košice - okolie, 2 585,3957
Michalovce, 1 527,4015
Sobrance,235,2666
Rožňava,980,1645
Gelnica,397,330
Spišská Nová Ves, 1 775,3813
Trebišov, 1 032,1954
