nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Podiel,
Strana,Sas,
,,
,2020,2016
Bratislava I,15.03,29.60
Bratislava II,13.74,26.59
Bratislava III,13.91,26.87
Bratislava IV,13.27,26.52
Bratislava V,12.54,25.74
Malacky,8.06,17.44
Pezinok,9.22,19.31
Senec,11.19,20.93
Dunajská Streda,2.95,4.44
Galanta,5.01,8.44
Piešťany,6.88,10.87
Senica,5.43,14.09
Skalica,6.43,11.74
Hlohovec,5.05,14.22
Trnava,6.51,13.64
Bánovce nad Bebravou,4.18,8.33
Myjava,7.31,10.14
Nové Mesto nad Váhom,6,13.73
Považská Bystrica,5.19,12.58
Púchov,4.73,9.91
Partizánske,5.06,10.50
Prievidza,5.49,10.83
Ilava,5.32,9.60
Trenčín,6.66,13.96
Komárno,2.82,4.70
Levice,4.68,8.48
Nitra,6.92,12.61
Zlaté Moravce,4.63,6.95
Nové Zámky,4.05,10.44
Šaľa,5.8,7.86
Topoľčany,4.3,7.94
Čadca,3.63,6.31
Dolný Kubín,6.44,6.41
Liptovský Mikuláš,6.92,12.21
Martin,6.42,6.95
Turčianske Teplice,4.53,15.89
Námestovo,2.6,13.31
Tvrdošín,4.13,5.18
Ružomberok,5.28,9.89
Bytča,3.8,8.16
Kysucké Nové Mesto,3.98,8.34
Žilina,7.52,13.81
Banská Bystrica,8.44,17.36
Brezno,5.3,11.17
Lučenec,4.4,10.44
Poltár,2.82,8.49
Revúca,2.51,8.62
Rimavská Sobota,2.92,7.44
Veľký Krtíš,3.64,6.38
Detva,4.16,5.50
Krupina,5.35,5.41
Zvolen,7.28,5.02
Banská Štiavnica,5.04,15.01
Žarnovica,4.62,8.01
Žiar nad Hronom,6.21,10.97
Bardejov,3.72,6.42
Humenné,3.47,5.96
Medzilaborce,2.98,7.91
Snina,2.68,6.59
Kežmarok,3.53,4.72
Levoča,2.97,14.55
Poprad,6.23,10.54
Prešov,5.1,6.03
Sabinov,3.13,4.96
Stará Ľubovňa,3.4,5.54
Stropkov,3.74,5.87
Svidník,3.15,5.48
Vranov nad Topľou,2.5,4.48
Košice I,9.48,5.97
Košice II,8.31,18.97
Košice III,7.16,16.58
Košice IV,7.81,14.83
Košice - okolie,4.43,14.47
Michalovce,3.35,7.87
Sobrance,2.28,6.40
Rožňava,3.73,6.79
Gelnica,3.09,3.34
Spišská Nová Ves,4.13,9.72
Trebišov,2.48,4.99
