nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Počet,
Strana,SME RODINA,
,,
,2016,2020
Bratislava I,1006, 1 042
Bratislava II,4770, 4 311
Bratislava III,2286, 2 186
Bratislava IV,3890, 3 661
Bratislava V,5432, 5 092
Malacky,3516, 4 010
Pezinok,3248, 3 093
Senec,3524, 4 067
Dunajská Streda,1808, 2 305
Galanta,3022, 4 064
Piešťany,1782, 2 996
Senica,2184, 3 025
Skalica,2501, 2 090
Hlohovec,1660, 2 402
Trnava,5541, 5 916
Bánovce nad Bebravou,1461, 2 269
Myjava,2644, 1 310
Nové Mesto nad Váhom,1079, 3 527
Považská Bystrica,2589, 3 264
Púchov,1703, 2 433
Partizánske,2220, 2 728
Prievidza,5213, 7 646
Ilava,1579, 3 334
Trenčín,4819, 6 002
Komárno,1237, 1 617
Levice,3501, 4 943
Nitra,5982, 8 469
Zlaté Moravce,3982, 2 470
Nové Zámky,1598, 5 554
Šaľa,2580, 2 075
Topoľčany,1305, 4 090
Čadca,1050, 4 088
Dolný Kubín,1765, 1 552
Liptovský Mikuláš,950, 4 210
Martin,953, 4 949
Turčianske Teplice,2956,896
Námestovo,4273, 2 262
Tvrdošín,1124, 1 497
Ružomberok,1805, 3 075
Bytča,740, 1 620
Kysucké Nové Mesto,876, 1 744
Žilina,5897, 7 459
Banská Bystrica,3577, 5 908
Brezno,453, 3 124
Lučenec,1693, 2 524
Poltár,961, 1 086
Revúca,645,998
Rimavská Sobota,1907, 2 337
Veľký Krtíš,654, 1 358
Detva,487, 1 993
Krupina,1219, 1 114
Zvolen,730, 3 760
Banská Štiavnica,2681,901
Žarnovica,984, 1 384
Žiar nad Hronom,1595, 2 940
Bardejov,1785, 3 340
Humenné,1849, 2 906
Medzilaborce,1432,277
Snina,927, 1 641
Kežmarok,217, 2 238
Levoča,3417, 1 381
Poprad,5551, 4 154
Prešov,1309, 7 725
Sabinov,737, 2 344
Stará Ľubovňa,901, 1 639
Stropkov,482,768
Svidník,625, 1 240
Vranov nad Topľou,1697, 3 213
Košice I,760, 2 658
Košice II,2366, 3 355
Košice III,2961, 1 418
Košice IV,1164, 2 571
Košice - okolie,2259, 5 407
Michalovce,3605, 3 582
Sobrance,2678, 1 058
Rožňava,1130, 1 557
Gelnica,513, 1 243
Spišská Nová Ves,2769, 3 813
Trebišov,2072, 3 177
