nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Podiel,
Strana,SME RODINA,
,,
,2016,2020
Bratislava I,3.83,3.43
Bratislava II,7.12,5.7
Bratislava III,5.85,4.81
Bratislava IV,6.66,5.67
Bratislava V,8.1,6.87
Malacky,10.04,9.58
Pezinok,9.28,7.55
Senec,8.27,7.47
Dunajská Streda,3.25,3.66
Galanta,6.58,7.98
Piešťany,8.07,8.23
Senica,6.67,9.43
Skalica,9.06,8.19
Hlohovec,7.65,9.7
Trnava,8.17,7.71
Bánovce nad Bebravou,7.86,11.24
Myjava,8.64,8.98
Nové Mesto nad Váhom,8.23,10.06
Považská Bystrica,8.11,9.16
Púchov,7.48,9.51
Partizánske,6.86,10.95
Prievidza,7.4,10.17
Ilava,6.78,10.01
Trenčín,7.99,8.98
Komárno,2.99,3.67
Levice,6.68,8.77
Nitra,7.11,9.14
Zlaté Moravce,6.04,10.5
Nové Zámky,6.71,7.86
Šaľa,6.92,7.96
Topoľčany,6,10.29
Čadca,6.79,8.86
Dolný Kubín,4.14,6.83
Liptovský Mikuláš,4.61,9.96
Martin,5.51,9.14
Turčianske Teplice,7.3,9.59
Námestovo,8.54,6.83
Tvrdošín,3.95,7
Ružomberok,5.85,9.29
Bytča,8.42,9.37
Kysucké Nové Mesto,4.49,9.38
Žilina,6.87,7.98
Banská Bystrica,6.13,9.27
Brezno,5.81,10.23
Lučenec,5.73,8.11
Poltár,6.02,10.38
Revúca,5.93,6.54
Rimavská Sobota,6.7,6.94
Veľký Krtíš,6.67,6.83
Detva,3.41,11.56
Krupina,3.87,9.64
Zvolen,3.94,10.12
Banská Štiavnica,7.78,10.44
Žarnovica,7.55,9.92
Žiar nad Hronom,6.87,11.87
Bardejov,5.27,8.82
Humenné,6.7,9.73
Medzilaborce,5.34,5.54
Snina,6.68,10.2
Kežmarok,4.37,7.3
Levoča,6.82,8.79
Poprad,6.88,7.42
Prešov,5.48,8.65
Sabinov,5,8.53
Stará Ľubovňa,4.14,6.76
Stropkov,5.4,8.01
Svidník,4.37,8.16
Vranov nad Topľou,5.39,9.23
Košice I,6.3,7.6
Košice II,7.37,8.52
Košice III,8.16,9.8
Košice IV,8.88,8.5
Košice - okolie,8.26,9.27
Michalovce,7.07,7.87
Sobrance,6.42,10.29
Rožňava,4.66,5.93
Gelnica,5.2,9.7
Spišská Nová Ves,7.06,8.87
Trebišov,5.3,7.64
