nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Podiel,
Strana,SMER - SD,
,,
,2016,2020
Bratislava I,14.98,9.04
Bratislava II,18.55,11.44
Bratislava III,19.49,11.38
Bratislava IV,18.29,11.88
Bratislava V,18.37,12.45
Malacky,26.92,15.42
Pezinok,24.16,14.75
Senec,16.32,10.07
Dunajská Streda,5.17,3.92
Galanta,19.40,12.34
Piešťany,34.48,19.29
Senica,28.85,18.42
Skalica,31.41,13.73
Hlohovec,25.97,22.78
Trnava,29.06,18.62
Bánovce nad Bebravou,41.11,26.80
Myjava,35.91,21.40
Nové Mesto nad Váhom,34.97,21.33
Považská Bystrica,33.96,24.35
Púchov,38.54,25.39
Partizánske,35.74,25.38
Prievidza,37.22,24.73
Ilava,37.77,24.61
Trenčín,30.50,19.99
Komárno,9.60,6.23
Levice,23.74,15.58
Nitra,31.72,21.11
Zlaté Moravce,23.83,25.73
Nové Zámky,19.04,15.28
Šaľa,42.62,12.51
Topoľčany,39.66,28.95
Čadca,37.86,31.07
Dolný Kubín,45.54,16.01
Liptovský Mikuláš,25.65,19.52
Martin,39.27,20.54
Turčianske Teplice,28.45,26.39
Námestovo,30.40,13.18
Tvrdošín,24.26,13.81
Ružomberok,27.86,16.79
Bytča,39.25,25.63
Kysucké Nové Mesto,24.12,27.52
Žilina,29.91,19.64
Banská Bystrica,26.20,20.80
Brezno,32.03,22.55
Lučenec,33.38,17.63
Poltár,37.77,27.75
Revúca,32.12,19.62
Rimavská Sobota,26.03,14.15
Veľký Krtíš,40.42,18.58
Detva,30.27,26.27
Krupina,21.47,19.90
Zvolen,26.13,20.97
Banská Štiavnica,29.69,21.19
Žarnovica,34.78,22.90
Žiar nad Hronom,31.41,21.26
Bardejov,34.70,22.41
Humenné,36.15,26.56
Medzilaborce,29.04,34.22
Snina,28.85,33.19
Kežmarok,47.18,14.75
Levoča,25.62,17.10
Poprad,26.50,14.94
Prešov,34.23,16.94
Sabinov,46.82,22.47
Stará Ľubovňa,39.20,22.88
Stropkov,40.76,25.67
Svidník,43.50,28.05
Vranov nad Topľou,41.07,27.64
Košice I,37.83,12.33
Košice II,18.42,14.12
Košice III,21.99,16.40
Košice IV,23.82,15.38
Košice - okolie,23.72,15.31
Michalovce,25.66,23.89
Sobrance,36.90,31.66
Rožňava,21.84,13.63
Gelnica,46.58,24.58
Spišská Nová Ves,29.74,17.72
Trebišov,33.34,19.95
