,,,,,
názov,Živonarodení podľa poradia (Osoba)
poradie,1.

,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Okres Bratislava I,263,208,197,179,193,173,190,207,169,186,200,236,245,196,263,242,231,270,287,196,199,218,222,211,250,245,267,223
Okres Bratislava II,660,563,547,452,499,437,461,516,470,463,510,580,604,657,655,756,787,832,836,672,733,723,752,850,847,868,779,767
Okres Bratislava III,315,280,284,256,271,263,247,280,233,279,274,326,318,352,344,391,426,444,437,450,436,445,499,483,491,511,520,490
Okres Bratislava IV,521,489,469,401,428,402,401,427,404,412,478,461,499,554,535,612,644,618,657,604,602,575,579,615,615,637,602,654
Okres Bratislava V,519,492,462,445,473,449,512,490,493,503,568,605,674,676,733,781,844,886,983,815,798,882,841,789,832,788,738,712
Okres Malacky,360,341,319,297,276,340,277,286,275,277,319,357,360,342,370,390,436,419,428,366,393,395,382,406,383,376,355,401
Okres Pezinok,338,316,271,281,261,219,226,239,240,221,279,308,310,303,304,353,388,370,332,338,311,347,333,371,357,421,351,364
Okres Senec,307,258,231,227,204,223,214,226,214,194,293,302,327,320,327,381,431,465,462,451,443,463,485,550,602,582,546,573
Okres Dunajská Streda,705,651,600,554,617,576,617,552,519,546,489,538,535,548,513,555,599,595,590,568,532,563,619,593,597,616,617,630
Okres Galanta,556,520,492,453,443,442,402,434,387,375,411,406,428,458,411,483,484,451,491,427,417,459,459,458,482,486,468,458
Okres Hlohovec,285,276,238,205,230,198,223,210,207,187,185,220,198,203,215,219,236,237,245,221,197,218,201,213,187,210,209,177
Okres Piešťany,340,278,258,281,256,287,284,280,222,233,229,286,292,282,264,333,317,281,350,274,293,294,253,281,294,266,258,263
Okres Senica,374,323,275,318,307,308,304,283,263,264,266,296,255,273,294,306,294,315,322,270,275,293,257,288,297,262,228,220
Okres Skalica,304,239,245,236,209,220,207,236,197,184,221,223,209,191,223,250,259,256,226,216,241,238,227,229,222,229,171,202
Okres Trnava,734,673,645,579,554,557,555,561,501,531,545,547,592,623,603,656,625,719,739,650,628,634,669,730,718,675,734,662
