,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nazov,Živonarodení podľa poradia (Osoba),,,,,,,,,,,,,,,,,,,,,,,,,,,
poradie,5. a vyššie,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Okres Bratislava I,11,9,9,7,3,5,6,6,2,5,1,4,1,4,4,4,1,2,3,5,3,3,0,1,4,0,2,5
Okres Bratislava II,5,14,9,11,17,12,15,9,8,9,13,6,15,10,12,17,17,13,14,15,14,15,10,20,5,12,16,10
Okres Bratislava III,9,6,9,11,4,10,4,4,5,3,2,1,4,0,7,2,5,3,9,4,6,6,8,6,8,8,5,6
Okres Bratislava IV,18,14,13,10,6,13,13,9,8,8,7,9,8,8,6,13,6,10,6,9,8,5,6,14,12,6,7,7
Okres Bratislava V,28,33,16,19,22,18,11,14,14,5,9,7,13,8,10,11,9,8,11,14,5,8,5,7,5,9,8,3
Okres Malacky,26,17,20,16,11,16,11,17,14,13,13,14,11,8,14,10,16,10,19,12,15,19,14,21,15,11,7,19
Okres Pezinok,9,6,14,10,8,19,6,10,5,7,3,5,8,5,4,6,7,3,8,4,3,7,6,9,10,9,4,11
Okres Senec,15,13,9,8,8,7,6,2,7,7,8,6,8,10,5,5,8,9,8,20,15,10,15,8,10,11,9,6
Okres Dunajská Streda,23,23,20,22,20,22,25,25,17,20,23,23,28,24,21,26,28,22,28,24,23,21,32,18,23,29,30,14
Okres Galanta,12,17,18,31,21,23,14,19,16,18,12,23,24,23,17,36,17,22,26,14,19,22,12,10,9,12,18,14
Okres Hlohovec,8,12,14,10,17,6,9,6,6,6,10,11,10,8,3,5,5,9,8,12,5,9,9,2,7,4,5,8
Okres Piešťany,14,15,8,13,14,12,14,8,7,12,6,10,11,8,5,5,9,8,3,7,9,3,5,8,3,11,5,3
Okres Senica,30,19,24,21,15,13,9,15,11,5,12,8,10,17,6,13,12,11,5,12,11,8,14,14,8,10,14,6
